"","X","Y","pa","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"47",-112.110366,36.06244,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
"48",-111.993141,35.039234,"1",12.4,16.4,4.5,716.6,31.9,-4,35.9,21.4,15.4,21.9,3.7,504,69,11,38,174,58,142,139
"49",-109.072602,37.383762,"1",10.9,17.4,3.9,914.1,34.2,-9.9,44.1,17.7,15.3,22.7,-1,287,35,9,27,93,44,64,71
"50",-112.015778,35.011871,"1",11.2,16.1,4.5,705.1,30.4,-4.9,35.3,20,14,20.5,2.6,532,75,12,39,187,61,155,146
"51",-106.583137,32.28466,"1",12.7,16.2,4.6,693.9,30.4,-4.2,34.6,20.6,11.9,21.7,3.9,356,73,7,73,195,32,172,57
"52",-106.600717,37.6703,"1",3.7,18,4.2,839.7,24.6,-17.6,42.2,13.6,-7.4,14.2,-7.4,372,56,20,34,143,68,125,68
"53",-105.888138,35.690294,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
"54",-106.30107,35.000378,"1",8.8,15.9,4.3,739.9,28.2,-8.5,36.7,17.6,12.6,18.5,-0.6,455,76,23,48,199,76,179,85
"55",-112.050728,36.195408,"1",7.3,15.7,4.3,725.9,27.1,-8.8,35.9,-0.5,10.2,16.9,-1.5,425,54,13,33,132,57,113,121
"56",-109.151665,40.060276,"1",8.1,17.1,3.5,1034.5,32.9,-15,47.9,15.6,-5.9,21.1,-5.9,249,29,13,22,76,44,63,44
"57",-106.468012,35.13422,"1",10.9,16,4.2,785.7,30.9,-7,37.9,20.2,15,21.2,1,347,58,19,47,150,60,135,62
"58",-111.514663,35.36212,"1",7.8,16.2,4.4,728.5,27.6,-9,36.6,17,10.9,17.4,-1.2,474,67,12,38,172,57,141,127
"59",-112.136053,36.065762,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"60",-112.139922,36.06225,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"61",-112.1432,36.05912,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"62",-112.12957,36.073947,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"63",-112.16655,36.070208,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"64",-105.409112,35.398103,"1",9.7,18.4,4.6,757.7,30,-9.8,39.8,18.7,0.1,19.6,0.1,368,77,12,69,191,39,182,39
"65",-109.867702,38.303552,"1",11,15.7,3.6,928.4,33.7,-9.1,42.8,17.8,15.6,23,-1,248,29,10,25,83,47,64,53
"66",-104.951828,36.457598,"1",8.6,18.3,4.7,743.9,28.3,-10.6,38.9,18.2,-0.8,18.2,-0.8,401,76,10,65,193,33,193,33
"67",-109.604895,38.796759,"1",11.4,15.8,3.6,955,34.5,-9.2,43.7,18.3,-1.1,23.7,-1.1,243,28,12,21,77,49,60,49
"68",-113.793862,35.1505,"1",13.7,15.4,4.4,723,32.9,-2,34.9,22.9,16.3,23.3,5.1,279,43,6,43,100,28,82,81
"69",-112.40479,36.434188,"1",8.2,15.8,4.3,741.8,28.4,-8.2,36.6,0.2,11.1,18.1,-0.8,419,53,14,32,131,59,111,119
"70",-111.764367,34.802088,"1",15.1,17.1,4.6,732.4,35.2,-1.9,37.1,24.2,18.1,24.8,6.2,476,60,9,37,155,52,119,136
