gbifid,species,latitude,longitude
1806332650,Pinus edulis,37.624165,-109.478177
1802793671,Pinus edulis,35.165578,-106.448478
1802779271,Pinus edulis,35.811292,-106.229111
1802679458,Pinus edulis,38.717648,-109.456902
1802627898,Pinus edulis,38.684497,-109.53163
1703170129,Pinus edulis,31.9138,-104.799878
1703163579,Pinus edulis,35.8125,-112.108612
1703143305,Pinus edulis,37.435615,-113.20211
1702471578,Pinus edulis,37.609684,-109.984303
1699366972,Pinus edulis,38.815813,-106.086686
1677335606,Pinus edulis,37.146797,-112.541406
1677330986,Pinus edulis,36.678047,-110.541358
1677311024,Pinus edulis,36.67,-105.686944
1677292337,Pinus edulis,34.854638,-111.782744
1677291442,Pinus edulis,35.69887,-105.911365
1677278976,Pinus edulis,35.895753,-106.294248
1677272479,Pinus edulis,37.02089,-112.009577
1677270544,Pinus edulis,35.655365,-105.28344
1677269188,Pinus edulis,37.429932,-111.801845
1671730946,Pinus edulis,36.376628,-105.548438
1671716886,Pinus edulis,36.196164,-112.051606
1668879494,Pinus edulis,35.210114,-106.448904
1668864278,Pinus edulis,40.237736,-110.603914
1668806815,Pinus edulis,35.78339,-106.275031
1668805744,Pinus edulis,36.95728,-102.966684
1668803478,Pinus edulis,36.956494,-102.971908
1668803476,Pinus edulis,36.951868,-102.947806
1668801598,Pinus edulis,36.781384,-103.968201
1668801587,Pinus edulis,35.6716,-106.078545
1668800532,Pinus edulis,36.22587,-112.184169
1668794373,Pinus edulis,37.671819,-113.035777
1668789515,Pinus edulis,35.716,-105.93435
1668788496,Pinus edulis,36.78158,-103.967948
1668788441,Pinus edulis,35.0324,-106.3674
1662963169,Pinus edulis,35.526059,-115.585586
1662329687,Pinus edulis,35.2624,-115.328283
1640048447,Pinus edulis,35.037235,-108.347447
1640033008,Pinus edulis,35.673303,-105.891778
1640032990,Pinus edulis,36.400487,-106.203828
1640032543,Pinus edulis,33.399197,-105.889328
1640032082,Pinus edulis,32.957172,-105.905092
1640031120,Pinus edulis,36.776523,-103.976262
1640029592,Pinus edulis,35.085908,-106.396885
1640029428,Pinus edulis,35.780271,-106.272179
1640029354,Pinus edulis,36.644999,-104.499445
1640029217,Pinus edulis,35.301851,-105.307997
1621792194,Pinus edulis,36.831,-112.254
1586948883,Pinus edulis,35.998592,-111.987555
1586149134,Pinus edulis,37.0344,-112.735326
1586119865,Pinus edulis,36.402544,-113.147507
1584415406,Pinus edulis,35.229804,-112.183177
1584410747,Pinus edulis,37.84569,-106.289723
1575226312,Pinus edulis,35.263419,-115.308748
1572402373,Pinus edulis,37.746425,-111.453875
1572385655,Pinus edulis,35.371243,-111.490822
1572366924,Pinus edulis,34.863619,-111.781534
1572330397,Pinus edulis,36.686404,-110.540774
1571125412,Pinus edulis,38.298783,-111.298753
1571109996,Pinus edulis,35.820043,-112.093334
1571075318,Pinus edulis,36.459096,-112.488604
1571073296,Pinus edulis,36.541877,-107.870959
1571063838,Pinus edulis,33.399247,-105.893233
1571061463,Pinus edulis,39.075135,-108.724817
1571061438,Pinus edulis,39.075226,-108.724777
1571059678,Pinus edulis,38.871468,-106.15697
1563442231,Pinus edulis,34.520812,-111.549935
1562888532,Pinus edulis,37.690547,-113.041411
1500324455,Pinus edulis,35.356089,-112.202556
1500200970,Pinus edulis,31.707778,-104.783333
1457598453,Pinus edulis,38.402411,-105.293312
1457588068,Pinus edulis,39.100903,-108.703828
1457583931,Pinus edulis,32.897512,-108.244207
1457582252,Pinus edulis,37.142418,-104.569182
1457581839,Pinus edulis,39.097041,-108.730718
1457581827,Pinus edulis,38.590868,-113.421234
1457581625,Pinus edulis,38.209013,-107.743349
1457581610,Pinus edulis,38.790047,-109.606047
1457581176,Pinus edulis,39.470741,-107.219709
1457578211,Pinus edulis,38.795781,-109.606823
1455570134,Pinus edulis,36.372822,-105.553405
1453501177,Pinus edulis,38.789064,-109.601809
1453486996,Pinus edulis,35.359271,-112.04911
1453349174,Pinus edulis,31.895515,-104.841122
1453334037,Pinus edulis,35.237998,-112.191523
1453331673,Pinus edulis,38.871484,-104.878406
1453323570,Pinus edulis,36.058908,-112.147673
1453294902,Pinus edulis,40.627487,-111.743005
1453288054,Pinus edulis,36.233157,-111.971626
1453255485,Pinus edulis,35.452238,-114.171578
1453255473,Pinus edulis,35.13992,-113.966133
1453229416,Pinus edulis,36.058723,-112.137373
1453187470,Pinus edulis,38.205617,-111.197679
1453156461,Pinus edulis,36.051314,-112.1339
1453156318,Pinus edulis,36.056935,-112.140026
1453114992,Pinus edulis,35.525765,-111.543267
1453098586,Pinus edulis,36.052289,-112.082396
1453095883,Pinus edulis,36.067417,-112.157622
1453095070,Pinus edulis,36.057239,-112.136953
1453087211,Pinus edulis,36.062025,-112.10958
1453086976,Pinus edulis,32.02933,-109.315833
1453067429,Pinus edulis,36.680602,-110.534317
1322998099,Pinus edulis,36.780862,-103.968884
1306585988,Pinus edulis,36.130933,-109.478331
1305158725,Pinus edulis,36.943564,-104.377264
1305128729,Pinus edulis,36.781466,-103.968097
1305125528,Pinus edulis,36.780802,-103.970856
1305120526,Pinus edulis,35.777894,-106.263236
1291661417,Pinus edulis,37.51782,-110.730017
1291660387,Pinus edulis,36.689009,-110.532964
1291660258,Pinus edulis,34.807613,-111.770255
1291138254,Pinus edulis,38.31707,-109.849548
1291099619,Pinus edulis,34.890788,-111.741296
1291080429,Pinus edulis,36.778203,-103.979907
1272100830,Pinus edulis,39.587447,-107.760987
1272074538,Pinus edulis,38.671332,-107.799515
1269570158,Pinus edulis,35.861182,-106.221355
1269569930,Pinus edulis,35.86001,-106.223677
1269555010,Pinus edulis,35.68966,-105.887767
1265543937,Pinus edulis,32.147135,-109.446387
