"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fire-d67-i0.85-e0.05"
"01/10/2020 14:51:22:291 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"7","67","0.05","0.85","25","0.011132138483802739"
"1","67","0.05","0.85","460","83.90906734792107"
"9","67","0.05","0.85","421","89.6724882767788"
"3","67","0.05","0.85","456","88.10792804796802"
"8","67","0.05","0.85","429","90.5116722948172"
"5","67","0.05","0.85","439","88.67299624641201"
"6","67","0.05","0.85","443","88.28159645232816"
"2","67","0.05","0.85","577","88.10157462852074"
"4","67","0.05","0.85","782","87.82051282051282"
"11","67","0.05","0.85","426","89.01293900184842"
"10","67","0.05","0.85","531","89.36390532544378"
"19","67","0.05","0.85","3","0.007451287209865504"
"13","67","0.05","0.85","408","88.69846640432496"
"12","67","0.05","0.85","477","89.79193518689007"
"15","67","0.05","0.85","446","85.75988123956208"
"14","67","0.05","0.85","559","89.06602552247087"
"16","67","0.05","0.85","504","64.72534007284621"
"17","67","0.05","0.85","421","87.04248125826841"
"18","67","0.05","0.85","462","88.67455577401047"
"22","67","0.05","0.85","433","88.84941341919247"
"23","67","0.05","0.85","469","88.72219348163478"
"21","67","0.05","0.85","471","90.19202363367799"
"24","67","0.05","0.85","442","84.42238866546138"
"20","67","0.05","0.85","727","88.37934105075689"
"25","67","0.05","0.85","412","83.59723913926106"
"26","67","0.05","0.85","450","87.60748422334575"
"27","67","0.05","0.85","460","91.38306913498134"
"28","67","0.05","0.85","459","89.1625797411409"
"35","67","0.05","0.85","37","0.007396176176916534"
"29","67","0.05","0.85","416","90.53799223516361"
"30","67","0.05","0.85","461","89.57724599622739"
"31","67","0.05","0.85","453","79.79533027929658"
"40","67","0.05","0.85","42","0.029469186282093787"
"33","67","0.05","0.85","434","90.84802375208758"
"34","67","0.05","0.85","422","85.43592398136508"
"43","67","0.05","0.85","3","0.0036884036588964294"
"32","67","0.05","0.85","773","81.14717486786273"
"36","67","0.05","0.85","430","87.331556345328"
"37","67","0.05","0.85","521","89.32939220395345"
"38","67","0.05","0.85","528","90.01550273143364"
"39","67","0.05","0.85","477","90.12649849231448"
"41","67","0.05","0.85","483","88.61910874747845"
"42","67","0.05","0.85","474","87.23388527498521"
"44","67","0.05","0.85","541","88.5970436779906"
"45","67","0.05","0.85","506","86.96102359292952"
"46","67","0.05","0.85","468","87.3480313789642"
"47","67","0.05","0.85","522","88.65638357182681"
"49","67","0.05","0.85","462","88.86225336529596"
"48","67","0.05","0.85","537","88.70314456145519"
"50","67","0.05","0.85","511","88.25504593926424"
"58","67","0.05","0.85","24","0.018362774982555362"
"53","67","0.05","0.85","425","89.22565145074847"
"51","67","0.05","0.85","451","89.44304360723821"
"52","67","0.05","0.85","477","85.58027437893956"
"54","67","0.05","0.85","497","86.67531504818385"
"55","67","0.05","0.85","461","88.26128580896973"
"56","67","0.05","0.85","409","89.95934959349593"
"60","67","0.05","0.85","437","89.38796565827775"
"57","67","0.05","0.85","413","88.89340326512522"
"59","67","0.05","0.85","443","90.31629275468921"
"61","67","0.05","0.85","475","89.41172142305287"
"62","67","0.05","0.85","475","86.08647450110864"
"63","67","0.05","0.85","395","92.16004126294072"
"64","67","0.05","0.85","514","88.16037213423414"
"66","67","0.05","0.85","454","89.88970588235294"
"65","67","0.05","0.85","476","89.21377278585896"
"67","67","0.05","0.85","522","90.3488630471817"
"69","67","0.05","0.85","429","87.80595694485402"
"71","67","0.05","0.85","471","87.40636356893866"
"68","67","0.05","0.85","622","87.61593826519255"
"70","67","0.05","0.85","516","87.41557188450976"
"72","67","0.05","0.85","462","84.37292143965709"
"73","67","0.05","0.85","560","89.62601986192638"
"75","67","0.05","0.85","418","90.6784335355764"
"74","67","0.05","0.85","512","82.68851971605902"
"77","67","0.05","0.85","444","92.1266801693979"
"76","67","0.05","0.85","431","90.4499370976097"
"78","67","0.05","0.85","461","89.67772932219677"
"79","67","0.05","0.85","500","87.13541666666667"
"80","67","0.05","0.85","547","86.10585660769259"
"81","67","0.05","0.85","709","89.61961925102183"
"83","67","0.05","0.85","455","91.27334215556536"
"84","67","0.05","0.85","473","82.39739220625277"
"82","67","0.05","0.85","637","88.88111115204657"
"92","67","0.05","0.85","82","0.12139940403928925"
"85","67","0.05","0.85","545","87.78307288780523"
"86","67","0.05","0.85","523","88.62164662349676"
"87","67","0.05","0.85","505","90.82568807339449"
"89","67","0.05","0.85","385","86.73996458087368"
"88","67","0.05","0.85","566","89.47543775219339"
"91","67","0.05","0.85","397","84.87658882648536"
"90","67","0.05","0.85","469","89.03653255357737"
"95","67","0.05","0.85","427","91.52379544782737"
"96","67","0.05","0.85","445","88.63265002970884"
"94","67","0.05","0.85","490","89.11166289886225"
"93","67","0.05","0.85","532","90.9988257742551"
"97","67","0.05","0.85","509","83.73585605639028"
"98","67","0.05","0.85","397","85.46088872567022"
"99","67","0.05","0.85","464","85.93721110823503"
"100","67","0.05","0.85","440","90.39676053198603"
