"X","Y","pa","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-105.89138,32.937997,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-105.890817,32.938172,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-105.89363,32.94038,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-105.885222,32.929547,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-108.967622,40.294947,"1",6.2,16.1,3.7,926.6,29.6,-13.9,43.5,13.3,-5.7,18.3,-5.7,318,34,17,19,92,57,82,57
-105.471122,32.735488,"1",10.6,15,4.7,625.3,26.7,-5.2,31.9,17.8,6.4,18.7,2.7,448,91,11,69,239,52,220,67
-105.890808,32.953042,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-112.115766,36.064942,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
-112.110366,36.06244,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
-111.993141,35.039234,"1",12.4,16.4,4.5,716.6,31.9,-4,35.9,21.4,15.4,21.9,3.7,504,69,11,38,174,58,142,139
-109.072602,37.383762,"1",10.9,17.4,3.9,914.1,34.2,-9.9,44.1,17.7,15.3,22.7,-1,287,35,9,27,93,44,64,71
-112.015778,35.011871,"1",11.2,16.1,4.5,705.1,30.4,-4.9,35.3,20,14,20.5,2.6,532,75,12,39,187,61,155,146
-106.583137,32.28466,"1",12.7,16.2,4.6,693.9,30.4,-4.2,34.6,20.6,11.9,21.7,3.9,356,73,7,73,195,32,172,57
-106.600717,37.6703,"1",3.7,18,4.2,839.7,24.6,-17.6,42.2,13.6,-7.4,14.2,-7.4,372,56,20,34,143,68,125,68
-105.888138,35.690294,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
-106.30107,35.000378,"1",8.8,15.9,4.3,739.9,28.2,-8.5,36.7,17.6,12.6,18.5,-0.6,455,76,23,48,199,76,179,85
-112.050728,36.195408,"1",7.3,15.7,4.3,725.9,27.1,-8.8,35.9,-0.5,10.2,16.9,-1.5,425,54,13,33,132,57,113,121
-109.151665,40.060276,"1",8.1,17.1,3.5,1034.5,32.9,-15,47.9,15.6,-5.9,21.1,-5.9,249,29,13,22,76,44,63,44
-106.468012,35.13422,"1",10.9,16,4.2,785.7,30.9,-7,37.9,20.2,15,21.2,1,347,58,19,47,150,60,135,62
-111.514663,35.36212,"1",7.8,16.2,4.4,728.5,27.6,-9,36.6,17,10.9,17.4,-1.2,474,67,12,38,172,57,141,127
-112.136053,36.065762,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-112.139922,36.06225,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-112.1432,36.05912,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-112.12957,36.073947,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-112.16655,36.070208,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-105.409112,35.398103,"1",9.7,18.4,4.6,757.7,30,-9.8,39.8,18.7,0.1,19.6,0.1,368,77,12,69,191,39,182,39
-109.867702,38.303552,"1",11,15.7,3.6,928.4,33.7,-9.1,42.8,17.8,15.6,23,-1,248,29,10,25,83,47,64,53
-104.951828,36.457598,"1",8.6,18.3,4.7,743.9,28.3,-10.6,38.9,18.2,-0.8,18.2,-0.8,401,76,10,65,193,33,193,33
-109.604895,38.796759,"1",11.4,15.8,3.6,955,34.5,-9.2,43.7,18.3,-1.1,23.7,-1.1,243,28,12,21,77,49,60,49
-113.793862,35.1505,"1",13.7,15.4,4.4,723,32.9,-2,34.9,22.9,16.3,23.3,5.1,279,43,6,43,100,28,82,81
-112.40479,36.434188,"1",8.2,15.8,4.3,741.8,28.4,-8.2,36.6,0.2,11.1,18.1,-0.8,419,53,14,32,131,59,111,119
-111.764367,34.802088,"1",15.1,17.1,4.6,732.4,35.2,-1.9,37.1,24.2,18.1,24.8,6.2,476,60,9,37,155,52,119,136
-107.749855,38.190732,"1",6.8,18.2,4.2,827.2,28.8,-13.9,42.7,16.8,10.7,17.4,-3.9,425,49,23,20,137,89,118,89
-105.408523,35.398033,"1",9.7,18.4,4.6,757.7,30,-9.8,39.8,18.7,0.1,19.6,0.1,368,77,12,69,191,39,182,39
-106.392202,35.095074,"1",9.1,15.8,4.2,748.4,28.6,-8.3,36.9,18,12.9,18.9,-0.3,445,73,23,45,191,74,172,85
-109.598663,38.787353,"1",11.3,15.7,3.6,949.9,34.3,-9.1,43.4,18.2,-1,23.6,-1,245,28,12,21,78,50,61,50
-111.664753,35.543957,"1",9.4,16.1,4.3,754.7,29.5,-7.7,37.2,18.8,12.8,19.3,0,384,56,11,36,140,49,116,98
-109.477245,36.128318,"1",10.6,16.6,4,853.7,32,-8.7,40.7,21,14.6,21.8,-0.2,251,37,8,40,96,33,78,53
-105.571031,33.752901,"1",11.5,17.1,4.7,718.7,30.1,-6.2,36.3,19.9,3.3,20.9,2.4,355,75,10,73,193,40,181,45
-108.489482,37.272792,"1",7,14.9,3.8,809.6,27.6,-10.8,38.4,16.9,10.4,17.6,-3.1,501,56,18,25,153,78,126,125
-105.782067,39.550051,"1",-0.9,13.6,3.8,763.2,18,-17.3,35.3,-3,0.1,9.1,-10.2,671,69,41,16,194,140,182,155
-106.579309,32.339312,"1",11.5,15.8,4.6,673.1,28.9,-4.8,33.7,19.3,10.7,20.3,3.1,401,84,8,73,219,38,194,66
-106.279117,35.781303,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
-111.795054,34.876419,"1",14.1,16.6,4.5,721.9,33.8,-2.4,36.2,23.2,17.1,23.7,5.3,520,63,10,36,164,59,128,152
-111.371051,35.520165,"1",13.7,16.5,4,849.4,35,-5.3,40.3,23.9,17.8,24.7,2.8,229,39,6,44,95,27,76,49
-109.504906,38.742547,"1",12.1,16.1,3.6,952,35.3,-8.7,44,18.9,-0.4,24.3,-0.4,238,28,11,22,75,48,57,48
-112.2541098,36.30624841,"1",7.4,15.6,4.3,725.6,27.2,-8.6,35.8,-0.4,10.2,17,-1.3,446,56,14,32,141,61,118,129
-104.804167,36.813889,"1",7.5,17.6,4.4,768.6,27.3,-12.1,39.4,17.4,-2.4,17.4,-2.4,401,75,11,63,189,38,189,38
-109.03623,33.16543,"1",11.6,19.4,5.1,680.9,31,-6.4,37.4,20,14.6,20.6,3.2,478,85,12,58,223,42,184,111
-105.2515,35.936,"1",8.2,17.9,4.6,714,27.7,-10.5,38.2,16.8,-0.7,17.6,-0.7,428,86,13,68,214,42,213,42
-107.59999,33.38066,"1",9.8,18.9,5,683.9,28.7,-8.5,37.2,17.9,8.8,18.7,1.2,385,85,8,79,225,34,186,54
-103.81769,35.78689,"1",12.1,16.8,4.2,810.2,31.9,-7.5,39.4,22.6,1.7,22.6,1.7,395,77,8,71,198,27,198,27
-105.80181,35.22511,"1",9.4,17.4,4.4,769,29.6,-9.4,39,18.5,1.1,19.4,-0.5,378,74,16,61,188,51,173,51
-104.95381,34.87444,"1",12.3,17.6,4.5,756.8,32,-6.4,38.4,21.2,4.2,22.2,2.7,351,72,11,66,176,36,172,37
-105.79281,35.580835,"1",8.6,16.7,4.4,738.5,28,-9.6,37.6,17.4,-0.7,18.3,-0.7,437,82,20,58,212,63,196,63
-104.95381,34.87444,"1",12.3,17.6,4.5,756.8,32,-6.4,38.4,21.2,4.2,22.2,2.7,351,72,11,66,176,36,172,37
-107.59453,36.95717,"1",8.3,17.3,4,854,30.5,-12.1,42.6,14.8,12.3,19.3,-2.8,385,51,15,28,129,61,105,91
-106.87838,35.9949,"1",6.4,17.6,4.4,763.5,27,-12.6,39.6,15.6,9.9,16.3,-3.4,442,74,22,43,183,72,165,87
-105.317773,35.267407,"1",10.7,18.4,4.6,769,31.2,-8.8,40,19.8,1.9,20.8,0.9,328,69,10,69,171,33,163,34
-108.565106,34.117195,"1",6.7,19.7,5.1,681.5,26.5,-11.8,38.3,15.1,9.6,15.6,-1.8,425,87,14,66,218,45,183,76
-109.578903,38.770775,"1",11.5,15.8,3.6,948.5,34.5,-9,43.5,18.4,-0.9,23.7,-0.9,245,29,12,22,78,49,60,49
-104.842536,38.859092,"1",8.8,16.3,4.1,800.9,29.5,-9.7,39.2,19.5,-1.1,19.5,-1.1,416,71,9,61,190,33,190,33
-112.014725,35.597908,"1",9.8,16.2,4.4,733.5,29.7,-6.8,36.5,18.9,12.9,19.5,0.8,401,59,12,37,144,52,121,104
-109.735535,38.64629,"1",11.5,15.9,3.6,947.9,34.5,-9.1,43.6,18.4,-0.8,23.7,-0.8,239,28,11,23,77,49,59,49
-108.727732,39.103747,"1",10.4,15.1,3.5,934.5,32.8,-9.5,42.3,17.2,-1.7,22.5,-1.7,278,29,16,18,84,56,69,56
-108.260483,38.093692,"1",6.5,16.8,4,812.5,28,-13,41,16.4,10.2,17,-3.9,449,52,23,23,151,90,127,93
-108.317395,39.113403,"1",10.1,15.4,3.6,913.8,32.5,-10,42.5,16.8,-1.8,21.9,-1.8,297,32,18,18,90,59,71,59
-112.156119,36.072149,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-108.770626,39.122987,"1",10,14.6,3.4,926.5,32.3,-9.5,41.8,16.8,-1.9,22,-1.9,301,32,17,18,92,63,75,63
-108.951472,39.206422,"1",10.6,16.4,3.7,956.9,33.8,-10.5,44.3,17.5,-2,22.8,-2,245,27,14,19,75,49,60,49
-111.65792,35.157119,"1",7.9,16.5,4.5,712.7,27.6,-8.7,36.3,17,10.7,17.4,-0.8,554,74,12,38,192,63,155,156
-112.141871,36.059993,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-112.165694,36.071592,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-111.827614,34.84523,"1",15,17.1,4.6,731.8,35.1,-1.9,37,24.1,18,24.7,6.1,473,59,9,37,154,52,119,134
-111.754529,34.947804,"1",11.7,16.2,4.5,707.2,30.9,-4.4,35.3,20.6,14.6,21.1,3.1,584,72,12,37,185,66,149,174
-111.82381,34.806502,"1",15.5,17.4,4.6,741.7,35.9,-1.8,37.7,24.8,18.6,25.3,6.5,440,57,9,37,148,49,114,121
-111.829447,34.807926,"1",15.5,17.4,4.6,741.7,35.9,-1.8,37.7,24.8,18.6,25.3,6.5,440,57,9,37,148,49,114,121
-105.832305,32.944997,"1",10,14.3,4.5,635.9,26.1,-5.2,31.3,17.3,9.2,18.3,2,506,102,12,67,262,58,240,90
-108.048639,32.991394,"1",10.2,18.8,5.1,668.8,29.1,-7.3,36.4,18.3,13.4,19.1,1.9,451,93,10,72,243,44,207,82
-109.214016,36.294344,"1",8.9,15.2,3.9,821.9,29.3,-9.6,38.9,18.9,12.6,19.7,-1.5,311,45,9,39,117,39,94,70
-109.853981,38.103008,"1",10.9,15.5,3.6,917.6,33.3,-8.8,42.1,17.6,15.3,22.8,-0.9,254,30,10,25,85,45,66,57
-112.140111,36.054445,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
-106.569444,32.337222,"1",11.5,15.8,4.6,673.1,28.9,-4.8,33.7,19.3,10.7,20.3,3.1,401,84,8,73,219,38,194,66
-103.97,36.782222,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
-112.107754,36.061728,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
-105.956298,35.726247,"1",9,16.3,4.3,767.2,28.5,-9.2,37.7,18.1,-0.7,18.9,-0.7,402,75,19,56,191,58,177,58
-106.582222,32.303056,"1",11.8,15.8,4.6,677.1,29.2,-4.7,33.9,19.6,10.9,20.6,3.3,392,81,8,73,214,37,189,64
-112.095305,36.048642,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
-112.105958,36.059578,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
-108.118325,32.807922,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
-108.089911,32.813278,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
-108.089814,32.813392,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
-108.244133,32.897745,"1",9.8,18.1,5,662.5,28.3,-7.2,35.5,17.8,13,18.6,1.6,485,99,11,69,253,45,219,97
-108.244203,32.898175,"1",9.8,18.1,5,662.5,28.3,-7.2,35.5,17.8,13,18.6,1.6,485,99,11,69,253,45,219,97
-109.478177,37.624165,"1",10.6,15.3,3.7,894.5,32.8,-8.4,41.2,17.3,14.7,22.4,-0.8,306,36,10,27,99,46,74,81
-106.448478,35.165578,"1",7.9,15.5,4.3,724,26.9,-9.1,36,16.5,11.5,17.3,-1.2,505,83,26,45,216,82,195,99
-106.229111,35.811292,"1",10.2,15.9,4.1,798,30,-7.9,37.9,19.7,0.1,20.5,0.1,351,64,15,52,162,51,148,51
-109.456902,38.717648,"1",10.8,15.4,3.6,930.9,33.4,-9.2,42.6,17.7,-1.2,22.9,-1.2,273,31,13,21,85,57,67,57
-109.53163,38.684497,"1",11.4,15.7,3.6,939.8,34.3,-8.9,43.2,18.3,-0.7,23.6,-0.7,255,30,12,21,81,53,62,53
-104.799878,31.9138,"1",13.7,15,4.5,654.6,30,-2.8,32.8,22.1,9.6,22.1,5.2,193,42,2,86,108,8,108,14
-112.108612,35.8125,"1",9.3,16.4,4.4,733.9,29.4,-7.4,36.8,18.5,12.3,18.9,0.3,380,55,12,36,133,50,113,99
-113.20211,37.435615,"1",9.5,16.1,4.1,786.5,30.5,-7.9,38.4,1.2,12.7,20,-0.1,397,48,13,26,127,66,88,112
-109.984303,37.609684,"1",10,14,3.5,878.9,31.2,-8.1,39.3,16.7,14.1,21.6,-1.1,291,35,10,27,96,45,76,71
-106.086686,38.815813,"1",5.3,17.7,4.3,800.2,26.8,-14,40.8,15,-4.7,15.8,-4.7,280,50,9,52,125,33,119,33
-112.541406,37.146797,"1",10.7,17.4,4.3,788.8,32.4,-7.7,40.1,2.3,14,21.1,0.9,350,43,12,29,117,52,78,112
-110.541358,36.678047,"1",10.4,13.4,3.6,841.1,30.6,-6.6,37.2,20.7,14.2,21.5,-0.1,267,36,8,33,94,36,76,62
-105.686944,36.67,"1",6.8,18,4.2,839.3,28.2,-14.5,42.7,16.7,-4.4,17.4,-4.4,312,56,13,48,138,44,130,44
-111.782744,34.854638,"1",15.1,17.1,4.6,733.8,35.2,-1.9,37.1,24.2,18.1,24.8,6.1,476,58,9,37,153,52,117,136
-105.911365,35.69887,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
-106.294248,35.895753,"1",8.2,14.9,4,760.2,27.2,-9.3,36.5,17.2,-1.5,18.1,-1.5,445,78,23,47,196,74,180,74
-112.009577,37.02089,"1",11.9,16,4,829.2,33.4,-6.2,39.6,22.1,15.7,22.8,1.5,232,30,8,28,72,35,60,65
-105.28344,35.655365,"1",8.9,18,4.6,729.9,28.5,-10.1,38.6,17.6,-0.3,18.5,-0.3,414,86,11,71,214,38,209,38
-111.801845,37.429932,"1",9.7,16,4,809.4,30.9,-8.5,39.4,19.6,13.3,20.3,-0.5,250,36,9,30,85,39,70,63
-105.548438,36.376628,"1",7.7,18.1,4.2,823.9,28.8,-13.4,42.2,17.4,-3.2,18.2,-3.2,342,61,14,50,151,46,145,46
-112.051606,36.196164,"1",7.3,15.7,4.3,725.9,27.1,-8.8,35.9,-0.5,10.2,16.9,-1.5,425,54,13,33,132,57,113,121
-106.448904,35.210114,"1",4.9,15.1,4.4,669.8,23,-11,34,12.9,8,13.7,-3.4,644,106,33,45,271,103,248,132
-110.603914,40.237736,"1",6.2,16.1,3.7,897.3,28.7,-14,42.7,13.1,-3.5,17.7,-5.6,292,30,21,12,87,65,77,66
-106.275031,35.78339,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
-102.966684,36.95728,"1",12.3,16.9,4.1,838.4,32.8,-7.6,40.4,20.9,1.8,23.3,1.8,396,71,8,64,182,26,182,26
-102.971908,36.956494,"1",12.3,16.9,4.1,838.4,32.8,-7.6,40.4,20.9,1.8,23.3,1.8,396,71,8,64,182,26,182,26
-102.947806,36.951868,"1",12.6,17.1,4.1,848.2,33.3,-7.6,40.9,21.3,1.9,23.7,1.9,389,70,8,65,180,25,180,25
-103.968201,36.781384,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
-106.078545,35.6716,"1",10.3,16.3,4.3,803,30.2,-7.7,37.9,19.9,0.3,20.7,0.3,350,64,16,53,164,50,150,50
-112.184169,36.22587,"1",10.2,16.4,4.3,768.1,30.9,-6.9,37.8,19.8,13.4,20.3,0.8,327,44,11,32,106,46,91,88
-113.035777,37.671819,"1",7.7,16.7,4.2,789.2,29.2,-10.1,39.3,17.7,10.8,18.2,-2,383,44,15,23,111,72,95,94
-105.93435,35.716,"1",9,16.3,4.3,767.2,28.5,-9.2,37.7,18.1,-0.7,18.9,-0.7,402,75,19,56,191,58,177,58
-103.967948,36.78158,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
-106.3674,35.0324,"1",9.1,15.9,4.2,747,28.7,-8.3,37,18,12.9,18.9,-0.3,445,74,23,46,193,74,173,84
-115.585586,35.526059,"1",11.4,13.5,4,728.3,30.2,-3.5,33.7,3.7,13.9,21.2,2.8,312,41,6,41,110,36,77,106
-115.328283,35.2624,"1",12.6,12.8,3.9,724.8,31,-1.8,32.8,4.9,15.1,22.3,4,312,44,6,42,109,33,81,103
-108.347447,35.037235,"1",8.5,18.5,4.6,772.4,29.4,-10.8,40.2,17.9,12,18.5,-1.3,352,63,14,49,155,46,131,72
-105.891778,35.673303,"1",8.1,16.2,4.3,738.4,27.3,-9.7,37,16.9,-1.2,17.7,-1.2,450,83,22,55,211,68,197,68
-106.203828,36.400487,"1",6.5,16.8,4.2,778.7,26.9,-12.7,39.6,15.9,-3.5,16.6,-3.5,398,70,22,44,168,69,156,69
-105.889328,33.399197,"1",11.6,16.3,4.6,702,29.4,-5.6,35,19.8,10.9,20.8,2.8,392,79,11,68,206,49,187,61
-105.905092,32.957172,"1",12.7,15.8,4.6,684.2,30,-4,34,20.6,12,21.6,4.1,389,76,10,64,199,44,178,65
-103.976262,36.776523,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
-106.396885,35.085908,"1",9.1,15.8,4.2,748.4,28.6,-8.3,36.9,18,12.9,18.9,-0.3,445,73,23,45,191,74,172,85
-106.272179,35.780271,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
-104.499445,36.644999,"1",9.7,18.3,4.4,800.7,30.1,-10.8,40.9,20,-0.5,20,-0.5,355,74,7,77,187,22,187,22
-105.307997,35.301851,"1",10.3,18.5,4.6,762.5,30.6,-9.2,39.8,19.3,1.6,20.3,0.6,345,73,10,70,180,35,172,35
-112.254,36.831,"1",8.6,15.9,4.2,768.5,29.2,-8.5,37.7,0.3,11.7,18.7,-0.9,380,47,13,30,118,55,98,109
-111.987555,35.998592,"1",7,15.7,4.4,713.7,26.6,-9,35.6,16,9.9,16.5,-1.6,444,58,14,33,143,59,123,126
-112.735326,37.0344,"1",10.4,16.9,4.3,778.8,31.7,-7.5,39.2,2.1,13.6,20.7,0.8,372,43,12,28,121,55,87,113
-113.147507,36.402544,"1",8.8,15.3,4.3,725.3,28.6,-6.9,35.5,1,11.5,18.5,0.2,449,56,14,33,141,62,119,130
-112.183177,35.229804,"1",8,15.2,4.5,680.7,26.5,-7.2,33.7,16.6,10.6,17,-0.2,575,83,14,40,204,66,172,162
-106.289723,37.84569,"1",4.8,17.5,4.1,850.3,25.5,-16.6,42.1,14.7,-6.6,15.4,-6.6,259,45,10,49,115,34,104,34
-115.308748,35.263419,"1",12.6,12.8,3.9,724.8,31,-1.8,32.8,4.9,15.1,22.3,4,312,44,6,42,109,33,81,103
-111.453875,37.746425,"1",10.3,15.4,3.8,856.8,31.7,-8.6,40.3,20.7,14.3,21.5,-0.6,221,33,9,32,80,37,66,48
-111.490822,35.371243,"1",7.8,16.1,4.4,729.7,27.5,-9,36.5,16.9,10.9,17.4,-1.2,470,66,12,38,170,56,139,126
