"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fireModel-ie"
"01/10/2020 15:10:53:045 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"129","70","0.05","1","408","94.45584489102745"
"130","70","0.05","1","395","94.8335043702891"
"131","70","0.06","0.4","359","93.96903589021815"
"132","70","0.06","0.4","370","93.86259866208898"
"139","70","0.06","0.4","71","0.34631422715386245"
"133","70","0.06","0.4","387","91.60635731516957"
"134","70","0.06","0.4","415","92.5630998933523"
"135","70","0.06","0.4","364","93.41141502423835"
"138","70","0.06","0.4","360","91.15497334133681"
"136","70","0.06","0.4","371","92.4802717718249"
"137","70","0.06","0.4","386","94.36764133932044"
"140","70","0.06","0.4","402","92.16053748231965"
"141","70","0.06","0.45","392","94.01588702559577"
"146","70","0.06","0.45","146","0.828047921071177"
"142","70","0.06","0.45","389","93.77236175564137"
"144","70","0.06","0.45","394","92.22042708626019"
"143","70","0.06","0.45","422","95.08728619291131"
"147","70","0.06","0.45","382","92.93788313667127"
"145","70","0.06","0.45","403","94.2316485526362"
"148","70","0.06","0.45","366","92.52276607854297"
"149","70","0.06","0.45","366","93.59732488560365"
"150","70","0.06","0.45","415","93.31744789814354"
"153","70","0.06","0.5","354","91.69837914023961"
"152","70","0.06","0.5","419","94.13595529461696"
"151","70","0.06","0.5","400","93.51223306463018"
"154","70","0.06","0.5","384","91.31485429992892"
"156","70","0.06","0.5","357","94.45152158527955"
"155","70","0.06","0.5","392","94.68900880431696"
"157","70","0.06","0.5","348","91.5312653865091"
"158","70","0.06","0.5","447","93.9243908476854"
"159","70","0.06","0.5","382","94.44757609921083"
"162","70","0.06","0.55","372","91.68146622149605"
"160","70","0.06","0.5","419","93.94994023764326"
"163","70","0.06","0.55","360","94.24468047566957"
"165","70","0.06","0.55","344","94.01127952062038"
"164","70","0.06","0.55","426","91.98018049902672"
"161","70","0.06","0.55","395","94.55503305872786"
"166","70","0.06","0.55","359","93.57930718539662"
"167","70","0.06","0.55","386","92.65215239980208"
"168","70","0.06","0.55","374","92.77223519422628"
"169","70","0.06","0.55","385","93.01572780690334"
"172","70","0.06","0.6","373","94.21284080914688"
"170","70","0.06","0.55","408","92.35824925394344"
"171","70","0.06","0.6","409","94.99806807404545"
"173","70","0.06","0.6","374","92.02913926020227"
"181","70","0.06","0.65","20","0.021189433535810143"
"174","70","0.06","0.6","444","93.00503438984613"
"175","70","0.06","0.6","408","92.80127977248489"
